case_id,query_id,query,query_slice,candidate_source,sampling_target_rank,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
U_Q05_T30,Q05,A historical book about war and political conflict,historical,semantic_retrieval,30,30,9780226677149,A Dance to the Music of Time,Anthony Powell,"""Movement 2. The rumble of distant events in Germany and Spain presages the storm of WWII. In England, even as the whirl of marriages and adulteries, fashions and frivolities, personal triumphs and failures gathers speed, men and women find themselves on the brink of fateful choices.",1.0.0,0.1.0,2,war theme is present somewhat centrally but historical and political conflict aspect is missing ,LABELLED
U_Q05_T70,Q05,A historical book about war and political conflict,historical,semantic_retrieval,70,70,9781420927320,The Trojan Women,Euripides;Gilbert Murray,"As bleak and agonizing a portrait of war as ever to appear on the stage, The Trojan Women is a masterpiece of pathos as well as a timeless and chilling indictment of war's brutality. Plays for Performance Series.",1.0.0,0.1.0,3,war theme is present centrally but  political conflict aspect is missing ,LABELLED
U_Q06_T30,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,30,30,9780446694858,Three Weeks with My Brother,Nicholas Sparks;Micah Sparks,"As moving as his bestselling works of fiction, Nicholas Sparks's unique memoir, written with his brother, chronicles the life-affirming journey of two brothers bound by memories, both humorous and tragicIn January 2003, Nicholas Sparks and his brother, Micah, set off on a three-week trip around the globe. It was to mark a milestone in their lives, for at thirty-seven and thirty-eight respectively, they were now the only surviving members of their family. Against the backdrop of the wonders of the world and often overtaken by their feelings, daredevil Micah and the more serious, introspective Nicholas recalled their rambunctious childhood adventures and the tragedies that tested their faith. And in the process, they discovered startling truths about loss, love, and hope.Narrated with irrepressible humor and rare candor, and including personal photos, THREE WEEKS WITH MY BROTHER reminds us to embrace life with all its uncertainties...and most of all, to cherish the joyful times, both small and momentous, and the wonderful people who make them possible.",1.0.0,0.1.0,3,strong match with loss and grief learning to live again aspect is implied,LABELLED
U_Q06_NEG,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,random_negative_candidate,,,9781401204105,The Sgt. Rock Archives,Robert Kanigher;Bob Haney,"An intense portrait of combat and conflict, this volume reprints the classic World War II adventures of Sgt. Rock and his colorful band of fighting soldiers. Originally published in the early 1960s, these memorable tales showcase the heroic and extraordinary missions of the tough, grizzled leader and the combat-happy Joes of Easy Company. Introduction by Mark Chiarello.",1.0.0,0.1.0,0,"no match with grief, loss, and learning to live again",LABELLED
U_Q07_T02,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,2,2,9780060956868,Joy in the Morning,Betty Smith,"The story of a young couple from Brooklyn who marry young, have little money, and face bitter parental opposition, but are determined to make something of their life together.",1.0.0,0.1.0,3,"match with central theme of complicated parent-child relationship is not strong as a direct
recommendation",LABELLED
U_Q07_T10,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,10,10,9780671003470,The Law of Enclosures,Dale Peck,"The story of a forty-year marriage follows the turbulence and joys shared by Henry and Beatrice, who in the emotional fallout of their relationship discover that they still have mutual feelings of love for each other. Reprint.",1.0.0,0.1.0,0,no match with central theme of complicated parent-child relationship,LABELLED
U_Q07_T30,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,30,30,9788122200850,"Cry, the Peacock",Anita Desai,"This book is the story of a young girl obsessed by a childhood prophecy of disaster. The author builds up an atmosphere of tension and oppression, in the middle of an Indian summer.",1.0.0,0.1.0,0,no match with central theme of complicated parent-child relationship,LABELLED
U_Q08_T02,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,2,2,9780764584657,Astronomy For Dummies,Stephen P. Maran,A beginner's guide to astronomy features information about the solar system as well as star maps and a monthly guide on locating the planets in the sky.,1.0.0,0.1.0,4,strong match with central theme of astronomy and the universe,LABELLED
U_Q08_T70,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,70,70,9780345439499,The Best of Lester Del Rey,Lester Del Rey,"A collection of classic stories by the cofounder of Del Rey Books -- now in a stunning new Del Rey Impact edition. A must-have for all science fiction readers -- Introduction by Terry BrooksLester del Rey, science fiction's most protean personality -- writer, editor, critic, publisher -- sets off an incomparable fireworks display in these tales of robots and humans, animals and aliens, ghosts and gods, science and the supernatural: ""Instinct""The robots labored to re-create the extinct human species -- but there was one element they somehow left out.""For I Am a Jealous People""""In God We Trust"" is a great motto -- until you find you can't.""Hereafter, Inc"".This is Heaven? The Hell it is!",1.0.0,0.1.0,0,no match with central theme of astronomy and the universe,LABELLED
U_Q08_NEG,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,random_negative_candidate,,,9780571164660,The White Castle,Orhan Pamuk,"Winner of the 1990 Independent Award for foreign fiction, this book tells the story of a young Italian scholar who is captured by pirates. Put up for auction at the Istanbul slave market, he is bought by a Turkish servant, eager to learn about scientific and intellectual advances in the West.",1.0.0,0.1.0,0,no match with central theme of astronomy and the universe,LABELLED
U_Q09_T02,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,2,2,9780140157185,The Assault,Reinaldo Arenas;Andrew Hurley,"A surrealistic novel on a dictatorship, a Cuban version of George Orwell's 1984. The protagonist is a counter-whispering agent whose task is to ferret out people spreading rumors inimical to the regime. By the author Before Night Falls.",1.0.0,0.1.0,3,strong match with dystopian story about authoritarian control aspects but resistance is implied,LABELLED
U_Q09_T10,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,10,10,9781931082549,Democracy in America,Alexis de Tocqueville;Arthur Goldhammer,"An influential study of America's national government, egalitarian ideals, and character offers reflections on the effect of majority rule on the rights of individuals and provides insight into the rewards and responsibilities of a democratic government, in a clear new translation of the nineteenth-century classic.",1.0.0,0.1.0,0,"no match with dystopian story, authoritarian control and resistance spects",LABELLED
U_Q10_T10,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,10,10,9780976694021,Behind Closed Doors,Johanna Rothman;Esther Derby,"Great management is difficult to see as it occurs. It's possible to see the results of great management, but it's not easy to see how managers achieve those results. You can learn to be a better manager--even a great manager--with this guide. You'll follow along as Sam, a manager just brought on board, learns the ropes and deals with his new team over the course of his first eight weeks on the job. From scheduling and managing resources to helping team members grow and prosper, you'll be there as Sam makes it happen. You'll find powerful tips covering: Delegating effectively, Using feedback and goal-setting, Developing influence, Handling one-on-one meetings, Coaching and mentoring, Deciding what work to do--and what not to do. - Publisher.",1.0.0,0.1.0,3,"strong match with leadership, teamwork but building effective organizations is implied",LABELLED
U_Q10_NEG,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,random_negative_candidate,,,9780440236733,Gone for Good,Harlan Coben,"Investigating his girlfriend's mysterious disappearance, Will Klein learns that she is somehow tied to his brother's death and becomes increasingly disturbed when he realizes that everyone he loves is harboring dark secrets. By the author of Tell No One. Reprint.",1.0.0,0.1.0,0,"no match with leadership, teamwork, and building effective organizations",LABELLED
U_Q11_T02,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,2,2,9780316341516,Mythology,Edith Hamilton,"Since its original publication by Little, Brown and Company in 1942, Edith Hamilton's Mythology has sold millions of copies throughout the world and established itself as a perennial bestseller in its various available formats: hardcover, trade paperback, mass market paperback, and e-book. Mythology succeeds like no other book in bringing to life for the modern reader the Greek, Roman, and Norse myths and legends that are the keystone of Western culture - the stories of gods and heroes that have inspired human creativity from antiquity to the present.",1.0.0,0.1.0,3,"strong match with mythology, gods, and legendary heroes but adventure aspect is implied",LABELLED
U_Q11_T30,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,30,30,9780812534832,Demons Don't Dream,Piers Anthony,"Two young adventurers are drawn into the world of Xanth through a computer game and find themselves in a desperate race against time when treachery, danger, and deceit place Xanth itself in peril, as they learn that some things are more important than winning. Reissue.",1.0.0,0.1.0,2,"adventure aspect is satisfied but no strong match with mythology, gods, and legendary heroes",LABELLED
U_Q11_NEG,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,random_negative_candidate,,,9780312194406,Bachelor Brothers' Bed & Breakfast Pillow Book,Bill Richardson,"Brothers Hector and Virgil make another appearance in this collection of anecdotes, recipes, gossip, and childhood memories, in a novel in which local poet Solomon Solomon makes an amusing revelation about the history of the twin landlords",1.0.0,0.1.0,0,"no strong match with mythology, gods, and legendary heroes",LABELLED
U_Q12_T10,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,10,10,9780262611350,"Development, Geography, and Economic Theory",Paul R. Krugman,"Why do certain ideas gain currency in economics while others fall by the wayside?Paul Krugman argues that the unwillingness of mainstream economists to think about what they couldnot formalize led them to ignore ideas that turn out, in retrospect, to have been very goodones.Krugman examines the course of economic geography and development theory to shed light on thenature of economic inquiry. He traces how development theory lost its huge initial influence andvirtually disappeared from economic discourse after it became clear that many of the theory's maininsights could not be clearly modeled. Economic geography seems to have fared even worse, aseconomists shied away from grappling with questions about space -- such as the size, location, oreven existence of cities -- because the ""terrain was seen as unsuitable for the tools athand.""Krugman's book, however, is not a call to abandon economic modeling. He concludes with areminder of why insisting on the use of models may be right, even when these sometimes leadeconomists to overlook good ideas. He also recaps the discussion of development and economicgeography with a commentary on recent developments in those fields and areas where further inquirylooks most promising.The Ohlin Lectures",1.0.0,0.1.0,0,"No match with inequality, poverty, and how society distributes wealth",LABELLED
U_Q12_T70,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,70,70,9780195169249,Introduction to Philosophy,John Perry;Michael Bratman;John Martin Fischer,"Introduction to Philosophy, Fourth Edition, is the most comprehensive topically organized collection of classical and contemporary philosophy available. Building on the exceptionally successful tradition of previous editions, this edition for the first time incorporates the insights of a new coeditor, John Martin Fischer, and has been updated and revised to make it more accessible. Ideal for introductory philosophy courses, the text includes sections on the meaning of life, God and evil, knowledge and reality, the philosophy of science, the mind/body problem, freedom of will, consciousness, ethics, and philosophical puzzles and paradoxes. It presents seventy substantial--and in some cases complete--selections from the best and most influential works in philosophy, offering a unique balance between classical and contemporary material. An extensive glossary of philosophical terms is also included. The fourth edition features fifteen new readings, including work by Albert Camus, Roderick M. Chisholm, Daniel Dennett, Harry G. Frankfurt, William Paley, Derek Parfit, John Perry, Richard Taylor, Peter Van Inwagen, Bernard Williams, and Susan Wolf. Part III, Knowledge and Reality, has been restructured and now includes Plato's Thaetetus, selections by Edmund L. Gettier and Robert Nozick, and an essay by Christopher Grau that explores the philosophical concepts presented in the popular film The Matrix. Two new ethics puzzles--""The Trolley Problem"" and ""Ducking Harm and Sacrificing Others""--are also included. This edition incorporates Study Questions after each reading and is accompanied by an Instructor's CD and a Student Companion Website, both containing helpful resources.",1.0.0,0.1.0,0,"No match with inequality, poverty, and how society distributes wealth",LABELLED
U_Q12_NEG,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,random_negative_candidate,,,9781841591056,"Stiff Upper Lip, Jeeves",P. G. Wodehouse,"Gussie Fink-Nottle simply must marry Madeline Bassett or Bertrand Wooster will be obliged to proffer the ring in his stead. In a daring attempt at securing the engagement, Jeeves and Bertie visit a rural leper colony.",1.0.0,0.1.0,0,"No match with inequality, poverty, and how society distributes wealth",LABELLED
