case_id,query_id,query,query_slice,candidate_source,sampling_target_rank,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status,development_source,sampling_bucket,previous_human_score,label_revision_method,label_revision_reason,label_revision_status
U_Q05_T30,Q05,A historical book about war and political conflict,historical,semantic_retrieval,30,30,9780226677149,A Dance to the Music of Time,Anthony Powell,"""Movement 2. The rumble of distant events in Germany and Spain presages the storm of WWII. In England, even as the whirl of marriages and adulteries, fashions and frivolities, personal triumphs and failures gathers speed, men and women find themselves on the brink of fateful choices.",2.1.0,0.1.0,2,war theme is present somewhat centrally but historical and political conflict aspect is missing ,LABELLED,historical_consumed_60,,,,,
U_Q05_T70,Q05,A historical book about war and political conflict,historical,semantic_retrieval,70,70,9781420927320,The Trojan Women,Euripides;Gilbert Murray,"As bleak and agonizing a portrait of war as ever to appear on the stage, The Trojan Women is a masterpiece of pathos as well as a timeless and chilling indictment of war's brutality. Plays for Performance Series.",2.1.0,0.1.0,3,war theme is present centrally but  political conflict aspect is missing ,LABELLED,historical_consumed_60,,,,,
U_Q06_T30,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,30,30,9780446694858,Three Weeks with My Brother,Nicholas Sparks;Micah Sparks,"As moving as his bestselling works of fiction, Nicholas Sparks's unique memoir, written with his brother, chronicles the life-affirming journey of two brothers bound by memories, both humorous and tragicIn January 2003, Nicholas Sparks and his brother, Micah, set off on a three-week trip around the globe. It was to mark a milestone in their lives, for at thirty-seven and thirty-eight respectively, they were now the only surviving members of their family. Against the backdrop of the wonders of the world and often overtaken by their feelings, daredevil Micah and the more serious, introspective Nicholas recalled their rambunctious childhood adventures and the tragedies that tested their faith. And in the process, they discovered startling truths about loss, love, and hope.Narrated with irrepressible humor and rare candor, and including personal photos, THREE WEEKS WITH MY BROTHER reminds us to embrace life with all its uncertainties...and most of all, to cherish the joyful times, both small and momentous, and the wonderful people who make them possible.",2.1.0,0.1.0,3,strong match with loss and grief learning to live again aspect is implied,LABELLED,historical_consumed_60,,,,,
U_Q06_NEG,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,random_negative_candidate,,,9781401204105,The Sgt. Rock Archives,Robert Kanigher;Bob Haney,"An intense portrait of combat and conflict, this volume reprints the classic World War II adventures of Sgt. Rock and his colorful band of fighting soldiers. Originally published in the early 1960s, these memorable tales showcase the heroic and extraordinary missions of the tough, grizzled leader and the combat-happy Joes of Easy Company. Introduction by Mark Chiarello.",2.1.0,0.1.0,0,"no match with grief, loss, and learning to live again",LABELLED,historical_consumed_60,,,,,
U_Q07_T02,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,2,2,9780060956868,Joy in the Morning,Betty Smith,"The story of a young couple from Brooklyn who marry young, have little money, and face bitter parental opposition, but are determined to make something of their life together.",2.1.0,0.1.0,3,"match with central theme of complicated parent-child relationship is not strong as a direct
recommendation",LABELLED,historical_consumed_60,,,,,
U_Q07_T10,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,10,10,9780671003470,The Law of Enclosures,Dale Peck,"The story of a forty-year marriage follows the turbulence and joys shared by Henry and Beatrice, who in the emotional fallout of their relationship discover that they still have mutual feelings of love for each other. Reprint.",2.1.0,0.1.0,0,no match with central theme of complicated parent-child relationship,LABELLED,historical_consumed_60,,,,,
U_Q07_T30,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,30,30,9788122200850,"Cry, the Peacock",Anita Desai,"This book is the story of a young girl obsessed by a childhood prophecy of disaster. The author builds up an atmosphere of tension and oppression, in the middle of an Indian summer.",2.1.0,0.1.0,0,no match with central theme of complicated parent-child relationship,LABELLED,historical_consumed_60,,,,,
U_Q08_T02,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,2,2,9780764584657,Astronomy For Dummies,Stephen P. Maran,A beginner's guide to astronomy features information about the solar system as well as star maps and a monthly guide on locating the planets in the sky.,2.1.0,0.1.0,4,strong match with central theme of astronomy and the universe,LABELLED,historical_consumed_60,,,,,
U_Q08_T70,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,70,70,9780345439499,The Best of Lester Del Rey,Lester Del Rey,"A collection of classic stories by the cofounder of Del Rey Books -- now in a stunning new Del Rey Impact edition. A must-have for all science fiction readers -- Introduction by Terry BrooksLester del Rey, science fiction's most protean personality -- writer, editor, critic, publisher -- sets off an incomparable fireworks display in these tales of robots and humans, animals and aliens, ghosts and gods, science and the supernatural: ""Instinct""The robots labored to re-create the extinct human species -- but there was one element they somehow left out.""For I Am a Jealous People""""In God We Trust"" is a great motto -- until you find you can't.""Hereafter, Inc"".This is Heaven? The Hell it is!",2.1.0,0.1.0,0,no match with central theme of astronomy and the universe,LABELLED,historical_consumed_60,,,,,
U_Q08_NEG,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,random_negative_candidate,,,9780571164660,The White Castle,Orhan Pamuk,"Winner of the 1990 Independent Award for foreign fiction, this book tells the story of a young Italian scholar who is captured by pirates. Put up for auction at the Istanbul slave market, he is bought by a Turkish servant, eager to learn about scientific and intellectual advances in the West.",2.1.0,0.1.0,0,no match with central theme of astronomy and the universe,LABELLED,historical_consumed_60,,,,,
U_Q09_T02,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,2,2,9780140157185,The Assault,Reinaldo Arenas;Andrew Hurley,"A surrealistic novel on a dictatorship, a Cuban version of George Orwell's 1984. The protagonist is a counter-whispering agent whose task is to ferret out people spreading rumors inimical to the regime. By the author Before Night Falls.",2.1.0,0.1.0,3,strong match with dystopian story about authoritarian control aspects but resistance is implied,LABELLED,historical_consumed_60,,,,,
U_Q09_T10,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,10,10,9781931082549,Democracy in America,Alexis de Tocqueville;Arthur Goldhammer,"An influential study of America's national government, egalitarian ideals, and character offers reflections on the effect of majority rule on the rights of individuals and provides insight into the rewards and responsibilities of a democratic government, in a clear new translation of the nineteenth-century classic.",2.1.0,0.1.0,0,"no match with dystopian story, authoritarian control and resistance spects",LABELLED,historical_consumed_60,,,,,
U_Q10_T10,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,10,10,9780976694021,Behind Closed Doors,Johanna Rothman;Esther Derby,"Great management is difficult to see as it occurs. It's possible to see the results of great management, but it's not easy to see how managers achieve those results. You can learn to be a better manager--even a great manager--with this guide. You'll follow along as Sam, a manager just brought on board, learns the ropes and deals with his new team over the course of his first eight weeks on the job. From scheduling and managing resources to helping team members grow and prosper, you'll be there as Sam makes it happen. You'll find powerful tips covering: Delegating effectively, Using feedback and goal-setting, Developing influence, Handling one-on-one meetings, Coaching and mentoring, Deciding what work to do--and what not to do. - Publisher.",2.1.0,0.1.0,3,"strong match with leadership, teamwork but building effective organizations is implied",LABELLED,historical_consumed_60,,,,,
U_Q10_NEG,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,random_negative_candidate,,,9780440236733,Gone for Good,Harlan Coben,"Investigating his girlfriend's mysterious disappearance, Will Klein learns that she is somehow tied to his brother's death and becomes increasingly disturbed when he realizes that everyone he loves is harboring dark secrets. By the author of Tell No One. Reprint.",2.1.0,0.1.0,0,"no match with leadership, teamwork, and building effective organizations",LABELLED,historical_consumed_60,,,,,
U_Q11_T02,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,2,2,9780316341516,Mythology,Edith Hamilton,"Since its original publication by Little, Brown and Company in 1942, Edith Hamilton's Mythology has sold millions of copies throughout the world and established itself as a perennial bestseller in its various available formats: hardcover, trade paperback, mass market paperback, and e-book. Mythology succeeds like no other book in bringing to life for the modern reader the Greek, Roman, and Norse myths and legends that are the keystone of Western culture - the stories of gods and heroes that have inspired human creativity from antiquity to the present.",2.1.0,0.1.0,3,"strong match with mythology, gods, and legendary heroes but adventure aspect is implied",LABELLED,historical_consumed_60,,,,,
U_Q11_T30,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,30,30,9780812534832,Demons Don't Dream,Piers Anthony,"Two young adventurers are drawn into the world of Xanth through a computer game and find themselves in a desperate race against time when treachery, danger, and deceit place Xanth itself in peril, as they learn that some things are more important than winning. Reissue.",2.1.0,0.1.0,2,"adventure aspect is satisfied but no strong match with mythology, gods, and legendary heroes",LABELLED,historical_consumed_60,,,,,
U_Q11_NEG,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,random_negative_candidate,,,9780312194406,Bachelor Brothers' Bed & Breakfast Pillow Book,Bill Richardson,"Brothers Hector and Virgil make another appearance in this collection of anecdotes, recipes, gossip, and childhood memories, in a novel in which local poet Solomon Solomon makes an amusing revelation about the history of the twin landlords",2.1.0,0.1.0,0,"no strong match with mythology, gods, and legendary heroes",LABELLED,historical_consumed_60,,,,,
U_Q12_T10,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,10,10,9780262611350,"Development, Geography, and Economic Theory",Paul R. Krugman,"Why do certain ideas gain currency in economics while others fall by the wayside?Paul Krugman argues that the unwillingness of mainstream economists to think about what they couldnot formalize led them to ignore ideas that turn out, in retrospect, to have been very goodones.Krugman examines the course of economic geography and development theory to shed light on thenature of economic inquiry. He traces how development theory lost its huge initial influence andvirtually disappeared from economic discourse after it became clear that many of the theory's maininsights could not be clearly modeled. Economic geography seems to have fared even worse, aseconomists shied away from grappling with questions about space -- such as the size, location, oreven existence of cities -- because the ""terrain was seen as unsuitable for the tools athand.""Krugman's book, however, is not a call to abandon economic modeling. He concludes with areminder of why insisting on the use of models may be right, even when these sometimes leadeconomists to overlook good ideas. He also recaps the discussion of development and economicgeography with a commentary on recent developments in those fields and areas where further inquirylooks most promising.The Ohlin Lectures",2.1.0,0.1.0,0,"No match with inequality, poverty, and how society distributes wealth",LABELLED,historical_consumed_60,,,,,
U_Q12_T70,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,70,70,9780195169249,Introduction to Philosophy,John Perry;Michael Bratman;John Martin Fischer,"Introduction to Philosophy, Fourth Edition, is the most comprehensive topically organized collection of classical and contemporary philosophy available. Building on the exceptionally successful tradition of previous editions, this edition for the first time incorporates the insights of a new coeditor, John Martin Fischer, and has been updated and revised to make it more accessible. Ideal for introductory philosophy courses, the text includes sections on the meaning of life, God and evil, knowledge and reality, the philosophy of science, the mind/body problem, freedom of will, consciousness, ethics, and philosophical puzzles and paradoxes. It presents seventy substantial--and in some cases complete--selections from the best and most influential works in philosophy, offering a unique balance between classical and contemporary material. An extensive glossary of philosophical terms is also included. The fourth edition features fifteen new readings, including work by Albert Camus, Roderick M. Chisholm, Daniel Dennett, Harry G. Frankfurt, William Paley, Derek Parfit, John Perry, Richard Taylor, Peter Van Inwagen, Bernard Williams, and Susan Wolf. Part III, Knowledge and Reality, has been restructured and now includes Plato's Thaetetus, selections by Edmund L. Gettier and Robert Nozick, and an essay by Christopher Grau that explores the philosophical concepts presented in the popular film The Matrix. Two new ethics puzzles--""The Trolley Problem"" and ""Ducking Harm and Sacrificing Others""--are also included. This edition incorporates Study Questions after each reading and is accompanied by an Instructor's CD and a Student Companion Website, both containing helpful resources.",2.1.0,0.1.0,0,"No match with inequality, poverty, and how society distributes wealth",LABELLED,historical_consumed_60,,,,,
U_Q12_NEG,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,random_negative_candidate,,,9781841591056,"Stiff Upper Lip, Jeeves",P. G. Wodehouse,"Gussie Fink-Nottle simply must marry Madeline Bassett or Bertrand Wooster will be obliged to proffer the ring in his stead. In a daring attempt at securing the engagement, Jeeves and Bertie visit a rural leper colony.",2.1.0,0.1.0,0,"No match with inequality, poverty, and how society distributes wealth",LABELLED,historical_consumed_60,,,,,
U_Q01_T10,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,10,10,9780891906797,The Great Gatsby,F. Scott Fitzgerald,"Tells the story of a young man, newly rich, who tries to recapture the past and win back his former love, despite the fact that she has married",2.1.0,0.1.0,1,incidental match with redemption,LABELLED,historical_consumed_60,,,,,
U_Q01_T30,Q01,A story about forgiveness and redemption,theme,semantic_retrieval,30,31,9780060927196,Success Stories,Russell Banks,"In Sucess Stories, an exceptionally varied yet coherent collection, Russell Banks proves himself one of the most astute and forceful writers in America today. Queen for a Day, Success Story, and Adultery trace fortunes of the Painter family in there pursuit of and retreat from the American dream. Banks also explores the ethos of rampant materialism in a group of contemporary moral fables. The Fish is an evocating parable of faith and greed set in a Southeast Asian village, The Gully tells of the profitability of violence and the ironies of upward mobility in a Latin American shantytown, and Chrildren's Story explores the repressed rage that boils beneath the surface of relationships between parents and children and between citizens of the first and third worlds.",2.1.0,0.1.0,0,no strong/incidental match with forgivesness and redemption ,LABELLED,historical_consumed_60,,,,,
U_Q01_NEG,Q01,A story about forgiveness and redemption,theme,random_negative_candidate,,,9780684849690,The Secret Diary of Anne Boleyn,Robin Maxwell,"Upon her coronation as Queen, Elizabeth I receives her mother Ann Boleyn's diary and learns of her love for her and her torment at the hands of Henry VIII",2.1.0,0.1.0,0,no strong/incidental match with forgivesness and redemption ,LABELLED,historical_consumed_60,,,,,
U_Q02_T02,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,semantic_retrieval,2,2,9780446604239,Exclusive,Sandra Brown,"An ace reporter investigates the suspicious death of her best friend's baby in this #1 New York Times bestselling political thriller of murder, passion, and intrigue in the White House. Barrie Travis is not famous; she's just a damn good reporter stuck at a low-budget television station. Then, her old friend -- now America's First Lady -- asks her to investigate the death of her baby. Stunned by grief after the loss of her infant son, the President's wife hints that her child didn't really die of SIDS; in reality, he may have been murdered. Blind to everything but finding the truth, Barrie delves into the private lives of the president and his wife and uncovers dark and terrible secrets that will test her ethics, her patriotism, and her courage. With the help of Gray Bondurant, a mysterious former presidential aide, this story could topple the presidency and change the course of history. In this fast-moving tale from a master of suspense, Barrie must fight powerful forces that want nothing more than to see the scandalous past -- and a certain young reporter -- dead and buried.",2.1.0,0.1.0,4,"Strong match with suspense,crime and investigation",LABELLED,historical_consumed_60,,,,,
U_Q02_NEG,Q02,A suspenseful story involving crime and investigation,plot_multi_concept,random_negative_candidate,,,9780060543495,The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,"During a scarlet fever outbreak in 1906, thirteen-year-old Lizabeth must decide whether it is more important to be Strawberry Queen or to be at the bedside of her younger sister, who is ill.",2.1.0,0.1.0,0,"no match with suspense, crime and investigation",LABELLED,historical_consumed_60,,,,,
U_Q03_T10,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,semantic_retrieval,10,10,9780688140717,Trapped in T Mirror,Elan Golomb,"In this compelling book, Elan Golomb identifies the crux of the emotional and psychological problems of millions of adults. Simply put, the children of narcissist -- offspring of parents whose interest always towered above the most basic needs of their sons and daughters -- share a common belief: They believe they do not have the right to exist. The difficulties experienced by adult children of narcissists can manifest themselves in many ways: for examples, physical self-loathing that takes form of overeating, anorexia, or bulimia; a self-destructive streak that causes poor job performance and rocky personal relationships; or a struggle with the self that is perpetuated in the adult's interaction with his or her own children. These dilemmas are both common and correctable, Dr. Golomb tells us. With an empathic blend of scholarship and case studies, along with her own personal narrative of her fight for self, Dr. Golomb plumbs the depths of this problem, revealing its mysterious hold on the affairs of otherwise bright, aware, motivated, and worthy people. Trapped in the Mirror explores. the nature of the paralysis and lack of motivation so many adults feel stress and its role in exacerbating childhood wrongs why do many of our relationships seem to be ""reruns"" of the past how one's body image can be formed by faulty parenting how anger must be acknowledge to be overcome and, most important, how even the most traumatized self can be healed. Rooted in a profoundly humanist traditional approach, and suffused with the benefit of the latest knowledge about intrafamily relationships, Trapped in the Mirror offers more than the average self-help book; it is truly the first self-heal book for millions.",2.1.0,0.1.0,2,match with personal growth but finding purpose facet is missing,LABELLED,historical_consumed_60,,,,,
U_Q03_NEG,Q03,A book about personal growth and finding purpose,theme_nonfiction_or_fiction,random_negative_candidate,,,9780805390476,The Feynman Lectures on Physics,Richard Phillips Feynman;Robert B. Leighton;Matthew Linzee Sands,"This revised edition of Feynman’s legendary lectures includes extensive corrections Feynman and his colleagues received and Caltech approved, making this the definitive edition ofThe Feynman Lectures on Physics.For all readers interested in physics.",2.1.0,0.1.0,0,no match with personal growth and finding purpose aspects,LABELLED,historical_consumed_60,,,,,
U_Q04_T02,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,2,2,9780006486145,Well of Darkness,Margaret Weis;Tracy Hickman,"Gareth is just a frightened young lad when he is drafted in to be the whipping-boy for the unruly Prince Dagnarus. Yet as they grow to be men, an unshakable bond is formed. And it is their destiny for them to become the two most powerful - and feared - men in the kingdom. But when Dagnarus decides to become a knight himself, he begins a chain of evil events that threaten to destroy the entire kingdom. Only by uniting the Sovereign Stone can peace be restored, and it is up to Dagnarus' brother Helmos to try to achieve this impossible task, using his father's soldiers against his brother's army. All the while, Gareth is gaining mastery over the sinister Void magic, and he is devoted to helping his childhood companion.. This gripping story of magical power and corruption takes the unique viewpoint of focusing on the evil characters, as we follow them from boys to men. Filled with action, suspense and wonderfully imaginative characters, Water From the Well of Darkness is set to elevate the careers of bestselling authors Weis & Hickman to spectacular new heights.",2.1.0,0.1.0,3,"strong match with fantasy adventure, magic but dangerous journeys facet is missing",LABELLED,historical_consumed_60,,,,,
U_Q04_T30,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,30,30,9780802135780,Sexing the Cherry,Jeanette Winterson,"Interweaving elements of fantasy and history, this novel chronicles the adventures of Jordan, who lives with his mother by the Thames during the reign of Charles II, as he follows his dreams to the end of the world, and beyond",2.1.0,0.1.0,2,strong match with fantasy adventure but magic and dangerous journey aspects is missing,LABELLED,historical_consumed_60,,,,,
U_Q04_T70,Q04,A fantasy adventure involving magic and dangerous journeys,genre_plot,semantic_retrieval,70,70,9781885865243,Through a Brazen Mirror,Delia Sherman,"Through a Brazen Mirror is the third book in The Ultra Violet Library, Circlet's imprint of fantasy and science fiction by/for/about lesbian/gay/bi folk. Originally published in 1989 by mass market publisher Ace, the book was marketed as generic sword and sorcery and, in the way of mass market books, disappeared from sight shortly thereafter, before it had a chance to reach an audience who would appreciate its themes. Based on an ancient Anglo-Scots ballad called ""The Famous Flower of Serving Men"" (a magical, tragic tale about a young woman who disguises herself as a man after the murder of her husband), Through a Brazen Mirror tells the tale of the witch Margaret, her daughter Elinor, King Lionel, and the extraordinary William Flowers, who saves the king from doom and Margaret's malevolent magic. With much richness of detail and folklore, Sherman uses the tale to explore issues of attraction, loyalty, and gender identity. For William is Elinor, who as William bonds with the young king and takes charge of a fate that was to be her undoing. The book, though it takes place in a fictional kingdom, is no cleaned-up fairy tale, and presents a historical picture of life circa 1400. In an age when women are not taught to read or write, both Margaret, as an evil schemer, and Elinor, who must take on a man's name and countenance, fight for their self-determination, each in her own way.",2.1.0,0.1.0,3,"strong match with fantasy adventure, magic but dangerous journeys facet is missing",LABELLED,historical_consumed_60,,,,,
U_Q05_T02,Q05,A historical book about war and political conflict,historical,semantic_retrieval,2,2,9780684844077,Soul of the Sword,Robert L. O'Connell,"A sweeping illustrated history of war and the implements used to perpetrate it takes readers on a fascinating tour of humanity's most persistant and destructive character trait and the technology that has been developed to promote warfare. 35,000 first printing.",2.1.0,0.1.0,3,strong match with historical book about war but political conflict aspect is implied,LABELLED,historical_consumed_60,,,,,
U_Q05_T10,Q05,A historical book about war and political conflict,historical,semantic_retrieval,10,10,9780375706363,Crucible of War,Fred Anderson,"Demonstrating that the decisive ""Seven Years' War"" changed the balance of power between the British and French in North America, the author argues that this conflict destroyed the delicate balance of power that gave Native people a voice in the affairs of the continent while creating an ""American generation."" Reprint. 25,00 first printing.",2.1.0,0.1.0,3,strong match with historical book about war but political conflict aspect is implied,LABELLED,historical_consumed_60,,,,,
U_Q05_NEG,Q05,A historical book about war and political conflict,historical,random_negative_candidate,,,9780345448194,Boogaloo on 2nd Avenue,Mark Kurlansky,"Captures the lives of the inhabitants of a tight-knit, ethnically diverse neighborhood on the Lower East Side of New York, including Nathan, a claustrophobic married man falling for Karoline, a German pastry maker.",2.1.0,0.1.0,0,no match with historical aspects of war and  political conflict,LABELLED,historical_consumed_60,,,,,
U_Q06_T02,Q06,"A moving story about grief, loss, and learning to live again",emotion_theme,semantic_retrieval,2,2,9781595542328,A Time to Embrace,Karen Kingsbury,"Their whole life was a series of miracles. Can they really hope for one more? And as tragedy pulls their lives apart, can they somehow find that all-important time to embrace? After twenty-one years, John and Abby Reynolds are back together and feeling like newlyweds. Together they are convinced they can handle the issues of their past, the questions from their children, and even the high-school politics that drain the joy from John's coaching career. But then disaster strikes...the type of tragedy John and Abby never expected. The squeal of brakes and the crunch of metal changes everything. Suddenly devastation tears at the heart of their family, and the depth of their existence. In the process, their children falter in their faith and guilt colors everything about the future. Fumbling for forgiveness and hoping for a miracle, John and Abby must remember what is important and cling to that above all else. Together, they're determined to move on with their lives. but is ""together"" enough for a future they never expected?",2.1.0,0.1.0,4,"strong match with grief, loss, and learning to live again",LABELLED,historical_consumed_60,,,,,
